name,organization,description_short,category,website,status,goal,proportionality,lawful_basis,standard_version,url,contact_email,lang,publiccode,source_data,methods_and_models,human_intervention,risks,provider,process_index_url,tags,source_id,begin_date,end_date,impacttoetsen,publication_category,lawful_basis_grouping,impacttoetsen_grouping,source_data_grouping,algorithm_id
Microsoft CoPilot,Safety region Zuid-Holland Zuid,"A group of employees is experimenting with Microsoft 365 Copilot to gain hands-on experience with generative AI. This pilot aims to gain knowledge and experience and explore, through case studies, how it can help with overview, analysis, speed and cost savings.",Work,,In development,"VRZHZ sees AI as the beginning of a system change. In this technology, several fields of knowledge come together, requiring a multidisciplinary approach to responsibly deal with both the enormous opportunities and risks of this technology. Because of the diverse perspectives, it was decided to explore 6 perspectives in more detail. One perspective is to experiment with generative AI using copilot to support employees in document creation, note-taking and information analysis, among others. The aim is to gain experience with genAI and understand its impact and capabilities in the workplace. Awareness of the risks of AI is also emphasised for responsible use. ","Due to the multidisciplinary nature of AI, the experiment is supervised and driven from a core team consisting of staff with different expertise in diverse fields of knowledge. A limited number of licences will be used so that participants can work with information within the organisation's tennant.The organisation is familiar with SLM Rijk's DPIA and has included it in its risk assessment. Internal ground rules have been developed and published to enable responsible use.",,1.0,,privacy@vrzhz.nl,nld,,"Participants in the experiment will only have access to information and data for which they are authorised. The existing policy on handling internal information with integrity and responsibility still applies, and participants should take this into account when using Copilot. The AI model is not trained with data from the experiment. In addition, separate rules have been established for responsible use of AI within the organisation, in accordance with the AI regulation.","Copilot uses language models from OpenAI hosted as a service in a Microsoft Azure environment. The language models are trained on huge amounts of text data, which enables them to generate and understand human-like texts. Copilot can call these language models and integrate them with business data in the organisation's microsoft environment (organisation tenant). This allows Copilot to answer questions, write texts and provide relevant information.https://learn.microsoft.com/nl-nl/copilot/microsoft-365/microsoft-365-copilot-architecture;Link to external pagehttps://learn.microsoft.com/nl-be/azure/ai-services/openai/overview","The current policy is that generated content is always checked by the user and, if necessary, also checked by a colleague (the four-eye principle) before being used. Furthermore, users are informed that transparency requirements are always taken into account in (future) publications. ","As part of the experiment (one of the perspectives), compliance under the AI regulation was looked at separately. The existing policies from privacy, security, procurement and the associated focus areas of awareness, code of conduct and cloud services form the starting point for risk management around generative AI.In addition, rules for responsible use of Generative AI have been drawn up to clarify to employees what is/is not possible. Furthermore, internal awareness, communication and training on AI literacy are being developed and AI is a focus area of existing compliance processes and compliance officers.The AI model will not be trained with data from participants in the experiment.  The general principle is that without procurement and contracting of an AI service, and the associated risk assessment, appropriate control measures and advice from a compliance officer, no personal and business confidential data should be used.",Microsoft,,"Microsoft, CoPilot, AI",,2024-10,,The DPIA SLM-rich was reviewed and named risks were assessed by compliance officers for relevance and applicability when used within the experiment.,Other algorithms,,"1: Data Protection Impact Assessment (DPIA), https://slmmicrosoftrijk.nl/wp-content/uploads/2024/12/20241218-Public-version-DPIA-Microsoft-365-Copilot-for-SLM-Rijk.pdf",,77178161
SmartLockR,Safety region Zuid-Holland Zuid,This algorithm helps e-mail users determine when an e-mail contains sensitive information and should be sent securely.,Work,,In use,"The purpose of this algorithm is to help ensure that information sent by e-mail is properly secured. In other words: not with too few security measures, but not with too many either. The algorithm contributes to this by alerting e-mail senders to sensitive information and encouraging them to then send this information securely. If they choose to do so, the e-mail is secured with encryption, two-factor authentication for the recipient, revocation option and logging.This ensures that sensitive information is secured, while insensitive information can be accessed without additional friction for the recipient. The algorithm only impacts the process of sending e-mails and does not affect the substantive legal status of citizens or businesses.",The use of this algorithm helps ensure that e-mails are sent with the right level of security. ,,1.0,,privacy@vrzhz.nl,nld,,"The algorithm is based on the preset content policy. This content policy is filled with words that are (in)directly related to privacy. Think of email address, house number, bank account number, appointment decision, password, etc.This list has been manually created by the VRZHZ. SmartLockR also has the possibility to recognise three standard formats: iBANv1, CreditCardv1 and BSN. As soon as a word (or part of a word) or 1 of the 3 standard formats is recognised, SmartLockR is activated.","The algorithm is based on the preset content policy. This content policy is filled with words that are (in)directly related to privacy. Think of email address, house number, bank account number, appointment decision, password, etc.This list has been manually created by the VRZHZ. SmartLockR also has the possibility to recognise three standard formats: iBANv1, CreditCardv1 and BSN. As soon as a word (or part of a word) or 1 of the 3 standard formats is recognised, SmartLockR is activated.","In principle, the user makes the choice whether or not to send an e-mail securely based on the recommendation by the algorithm. It is also possible to automate the choice of whether or not to send an e-mail securely based on the algorithm. In that case, a user can still choose to explicitly send an e-mail securely by himself.",The overall performance of the algorithm is monitored by the internal functional manager.,SmartLockR,,"Secure mail, NTA7516, AVG",,2023-03,,,Other algorithms,"1: AVG Artikel 25, https://www.privacy-regulation.eu/nl/artikel-25-gegevensbescherming-door-ontwerp-en-door-standaardinstellingen-EU-AVG.htm",,,27769876
Secondary Market Transaction Reporting (SMTR),Ministry of Finance,"The Dutch State uses Primary Dealers (PDs). These are banks appointed to purchase, promote and distribute Dutch government bonds. PDs are obliged to report on the activities carried out on the secondary market. These data show the transactions carried out in Dutch government securities.",Public finance,,In use,"The Dutch State uses Primary Dealers (PDs). These are banks appointed to purchase, promote and distribute Dutch State Loans (DSLs) and Dutch Treasury Bills (DTCs). A one-year contract is concluded with the PDs. PDs have the exclusive right to participate in the DSTA's DSL auctions and to use the repo and strip facility. PDs also receive a financial remuneration that depends on the quantity of DSLs taken from issues. Against these rights there are also obligations; for instance, PDs are obliged to continuously issue bid and offer prices for DSLs, the so-called quoting obligation. PDs are also obliged to report monthly on activity in the secondary market.The secondary market is the financial market where investors buy and sell existing securities such as bonds from each other. This is in contrast to the primary market, where new securities are sold directly. This algorithm focuses on reporting the activities on this secondary market. It gives the DSTA insight into the trading transactions on part of the secondary market, which provides more information on the liquidity of Dutch government securities.",The deployment of the algorithm has no drawbacks. It gives the dsta insight into trading transactions on part of the secondary market. The dsta needs this information to better understand the liquidity of Dutch government securities. ,,1.0,,cio-office@minfin.nl,nld,,The data are delivered according to the Harmonised Reporting Format defined by the European Financial Committee. This includes the following data:       Transaction date        ISIN code       Type of transaction (buy/sell)       Nominal value       Counterparty       Country code       Trading system       Value date (day on which transaction takes effect)       Trading entity (BIC),"The data are supplied by means of an XML file. The format of the XML file is predefined. A transaction contains the following information: transaction date, ISIN code, type of transaction (buy/sell), nominal value, counterparty, country code, trading system, value date (day on which the transaction takes effect) and trading entity (BIC). The data are automatically loaded into the DSTA's data warehouse. ",No automated decision-making takes place. Data is manually placed in a location and then automatically read into an SQL database. ,The risks of its use are low. The algorithm does not use personal data. Risk of incorrect content is mitigated by the use of automated content checks. ,,,,,01-2014,,,Impactful algorithms,"1: Comptabiliteitswet 2016, https://wetten.overheid.nl/BWBR0039429/2023-09-26",,,92334739
Quoting obligation,Ministry of Finance,"The Primary Dealers (PDs) are banks appointed to purchase, promote and distribute Dutch government bonds (DSLs). PDs are obliged to issue bid and offer prices on a continuous basis (Quotation Obligation). Quotation obligation ensures that Dutch government securities are liquid in the financial markets. ",Public finance,,In use,"The Dutch State uses Primary Dealers (PDs). These are banks appointed to purchase, promote and distribute Dutch State Loans (DSLs) and Dutch Treasury Bills (DTCs). A one-year contract is concluded with the PDs. PDs have the exclusive right to participate in the DSTA's DSL auctions and to use the repo and strip facility. PDs also receive a financial remuneration that depends on the quantity of DSLs taken from issues. Against these rights there are also obligations; for instance, PDs are obliged to continuously issue bid and offer prices for DSLs, the so-called quoting obligation. PDs are also obliged to report monthly on secondary market activity.The purpose of the quoting obligation is to ensure that Dutch government securities are liquid on the financial markets and thus easily tradable. Scoring well for the quoting obligation will encourage PDs to perform well during auctions so that they are entitled to the financial compensation. ","This algorithm measures and promotes the liquidity of government bonds in the secondary market. This brings many benefits, such as better pricing and tradability of Dutch issued sovereign debt.",,1.0,,cio-office@minfin.nl,nld,,- Bid prices (Dutch government bonds)- Ask prices (Dutch government bonds)- Quote score- Time of sale,"Primary Dealers have to quote daily on issued Dutch bonds. A score must fall within the set parameters;FilterQuotations must be made daily for an agreed period. If the lower limit for the quotation period is not achieved, the score is not taken into account. Zero scores are removed. If more than 75% of the scores are left: scores that deviate two standard deviations from the mean are filtered out until at least 75% of the number of scores remain.Quoter scores are filtered based on 2 criteria, namely the standard deviation and a minimum percentage to determine the number of Primary Dealers (PDs) that act as a lower bound. The standard deviation is currently 2. The lower limit is 75%. For example, if there are 10 PDs, at a rate of 75%, this equates to 8 PDs (rounded). This means that at least the quoting score is based on the mean of these 8 PDs, despite the fact that any number of standard deviations would cause more PDs to be excluded from the calculation. If the value 100 is entered here, the number of SDs is thus no longer relevant in the calculation, because by definition, the supplied values of all PDs are used to determine the quoter score.CalculationThe remaining spread points are used to calculate the mean and standard deviation. This calculates two values against which the spreads are tested.Scores up to 360 minutes within 1 standard deviation deviation are rewarded with 100%, scores within 2 standard deviations with 50%. The score of all quoted time over and above the first 360 minutes are then also rewarded according to the same measure. That is; within 1 standard deviation deviation from the mean by 100% times the number of 'extra' minutes and a score between 1 and 2 standard deviation deviations from the mean is rewarded by 50% times the number of 'extra' minutes (on top of the first 360 minutes).RankingAfter assigning daily scores to all Primary Dealers, a summary follows with data of the scores of all Primary Dealers over the past three months. The average scores of all Primary Dealers over the past three (completed whole) months are compared with each other and a ranking is produced from the best (number 1) to the worst (number 13). This ranking contributes 50% to the total Non competitive ranking (thus consisting of half quote scores and half secondary market performance).","No automated decision-making takes place. The programmed system sets parameters that filter the data. For example, outliers are removed from the dataset. Parameters such as the standard deviation and the number of minutes to be quoted can be changed manually. ",The risks of its use are low. The algorithm does not use personal data. Risk of incorrect parameters is mitigated by the use of 4-eye principle in any changes of parameters. ,,,,,2018,,,Impactful algorithms,"1: Comptabiliteitswet 2016, https://wetten.overheid.nl/BWBR0039429/2023-09-26",,,98458253
Early detection of debt,Municipality of Almelo,Municipality of Almelo offers help in the fight against poverty. An algorithm in the form of a web application is used for this purpose. The algorithm ensures that a signal about a resident's arrears reaches the municipality. The municipality then offers help.  ,Social Security,,In use,"The algorithm helps the municipality of Almelo fight poverty. With the algorithm, the municipality of Almelo receives signals about payment arrears from housing corporations, health insurers, energy or water companies and private landlords. We try to help residents who are at risk of falling into debt situations as early as possible, thus preventing poverty problems from increasing. When the financial problems are still small, advice can sometimes already be a good solution.","The municipality of Almelo has to deal with laws and regulations under which the municipality of Almelo actively approaches residents with impending debts and offers help. To carry out this statutory task, the algorithm is deployed so that data on arrears reaches the finance coaches at the right time. If employees had to figure this out manually, it would take a lot of time and several people would have access to the sensitive information. Because the algorithm retrieves the data from a system, only signals on arrears (longer than 30 days) reach the municipality without interim inspection by individuals. Good agreements have been made about the exchange of data: it is done in a secure way, only necessary data is shared and the data is not visible to anyone but the municipality's finance coaches. A resident can ultimately choose whether or not to make use of the help provided by the municipality of Almelo.","By amending the Municipal Debt Relief Act (Wgs), early signalling has been a statutory duty for municipalities since 1 January 2021. This law allows designated creditors to report payment arrears. Exchanging this data ensures that signals of debt problems reach the municipality earlier. As a result, help can be actively offered to prevent increases in debt. ",1.0,,privacy@almelo.nl,nld,,"Name, address, email address, notification of arrears of more than 30 days with a housing association, utility company health insurers and private landlord.","The creditor makes a notification in the registration and information system. Once a month, all new notifications are checked by an employee of the municipality. It then checks whether there are multiple debt arrears within one household. After this, the automated process with the algorithm stops. After this, the municipality contacts the resident to offer help. ","The system independently (automatically) makes a number of choices, e.g. to send an email, letter or text message when payment is late between €25 and €2000. After the data matching process, there is a moment of human oversight and a check that that matching is correct. For arrears above €2000, there is always an assessment by a staff member. From the moment the report is forwarded to a social worker, the process is no longer automated.","The web application is a registration and information system that can only be logged in by authorised employees using two-factor authentication. For the security of the algorithm, security tests are carried out regularly to check that the system cannot be hacked. The security of the algorithm meets BIO requirements. Only the finance coaches of the Almelo municipality have access to the data. Residents can indicate at any time that they do not want to be listed in the system. Data is then immediately removed. In addition, residents can access the data at any time. The moment the Almelo municipality removes the data from the system, no information about debt arrears remains with the municipality.",,,Debt assistanceEarly detection of debt,,2020-Q1,,,Impactful algorithms,,1: Data Protection Impact Assessment (DPIA),,97485139
Non-Competitive ,Ministry of Finance,"The 'non-competitive' option allows primary dealers to buy government bonds without offering a specific price in the auction. They get the bonds at the final clearing price of the auction, provided they meet requirements such as a minimum purchase during sovereign bond auctions.",Public finance,,In use,"The aim is to give Primary Dealers (large banks) additional incentives to buy enough volume at Dutch State Loans (DSL) auctions and to make the bonds attractive to buyers. This policy ensures that Dutch government securities remain easily tradable. The use of the non-competitive option also depends on how well they comply with the obligation to provide bid and offer prices. Primary Dealers therefore also have an incentive to offer good prices, which helps to improve the tradability of Dutch government securities.",The deployment of the algorithm does not entail any adverse consequences. It helps the agency keep Dutch government securities easily tradable. ,Comptabiliteitswet,1.0,,cio-office@minfin.nl,nld,,The following three parameters are used to determine whether a Primary Dealer is entitled to the non-competitive option. Quotation score (measure of liquidity): this determines 50% of the quoting ranking and thus the percentage of 'non-competitive' to which the Primary Dealer is entitled if the second condition is also met. Secondary market turnover: this determines 50% of the quoting ranking. Purchase in DSL auctions: at least 3% of the total issue.,"The quoter scores are filtered based on 2 criteria, namely the standard deviation and a minimum percentage to determine the number of Primary Dealers (PDs) that act as a lower limit. The standard deviation is currently 2. The lower limit is 75%. For example, if there are 10 PDs, at a rate of 75%, this equates to 8 PDs (rounded). This means that at least the quoting score is based on the mean of these 8 PDs, despite the fact that any number of standard deviations would cause more PDs to be excluded from the calculation. If the value 100 is entered here, the number of SDs is thus no longer relevant in the calculation, because by definition, the supplied values of all PDs are used to determine the quoting score. For the quoting requirement, a 3-month rolling average of the average end-month quoting rate is used.For secondary market turnover, the amounts traded by each Primary Dealer in the secondary market with a selection of counterparty types are considered. Both buy and sell trades count. The ranking is done on a 2-month rolling average of turnover.A percentage is attached to the quoting ranking. Currently, the percentage ranges from 21% (ranking 1) to 9% (ranking 13). This percentage is applied to the respective dealer's offtake during the auction to calculate the non-competitive. ","No automated decision-making takes place. The calculation of the non-competitive is done manually in Excel, but is based on fixed formulas set out in the policy. The variable input, offtake during auctions, is entered manually in Excel.  ","A technical risk is the miscalculation of the non-competitive option, which could theoretically give Primary Dealers an additional financial benefit. Based on this technical risk, it can also become a financial risk for the Agency. To mitigate these risks as much as possible, the 'non-competitive' is calculated independently by the mid- and back-office using a 4-eye principle.",,,,,2015 ,,,Impactful algorithms,"1: Comptabiliteitswet, https://wetten.overheid.nl/BWBR0039429/2023-09-26",,,84582544
Text analysis,Municipality of Leiden,"Based on language technology, personal and company names are read and filtered out of text files such as emails and individual documents.",,,In use,"Support in the review process where legal protections apply to information disclosed. Protection from the AVG (persons) and Woo laws (especially company confidential), where grounds for exception are named.",Manual review is intensive and error-prone. A suggestion list from the entity extraction algorithm captures all conceivable instances of individuals in the text.,Legislation around public access to government data (Woo),1.0,,algoritmes@leiden.nl,nld,,"This refers to documents and messaging information within the municipality. Including email, files, Whatsapp messages and other media where administrative decision-making can be found. ",Texts are recognised on the basis of Named Entity Recognition (NER) and a process within Insights extracts the names for further processing towards the management interface and the automatic lacquer rules. ,"Within the software, a list is built and offered to the user to select in the automatic varnishing process. The choice to adopt an advised term as a person name and not to disclose it is up to the user.",There is no risk of automated decision-making and the algorithm has no impact on fundamental rights because the algorithm does not make decisions with legal consequences. It only makes a proposal for anonymising personal data. The municipal employee always makes the final check whether a document is correctly anonymised. ,ZyLAB eDiscovery &amp; Compliance Services B.V.,Verwerkingsregister Gemeente Leiden,"NER, Lacquer, Redaction, Text Mining, Language Technology, Linguistics, LLM, Zylab",,,,,Other algorithms,"1: Wet open overheid, https://wetten.overheid.nl/BWBR0045754/2023-04-01#Hoofdstuk5",,"1: Algemene Office applicaties, Dit betreft standaard Office formaten inclusief email en social media formaten.",52979734
Anonymise,Municipality of Leiden,"The algorithm underlines personal data in documents. An employee has to look at all pages and check whether the document is properly anonymised. Then the software removes all highlighted information and blacklists it. After that, the documents can be published, for example under the Open Government Act (WOO).",,,In use,"The anonymisation software is used to anonymise documents published by the municipality faster and better. In this way, we prevent data leaks and contribute to better protection of data subjects' AVG rights.","The municipality increasingly has to disclose information. Therefore, privacy- or business-sensitive information has to be lacquered out. Before the algorithm was deployed, this deleting did not always go well. There were data leaks where not all personal data was deleted or where deleted information could still be read. The advantage of anonymisation software is that anonymisation is faster and better. The disadvantage is that the text layer of the document is analysed by a Microsoft Azure server. The content is not stored on this server, so the privacy risk of using the algorithm does not outweigh the privacy benefit of reducing the number of data breaches due to improper anonymisation. ",1. WOO 2. WCO 3. UAVG 4. WEP 5. WDO,1.0,,algoritmes@leiden.nl,nld,,"All information found in the uploaded documents (except metadata) is processed by the algorithm. This may include ordinary personal data, special personal data and criminal data. It may also include business-sensitive information.","Documents are uploaded to the application by an employee. At that point, a copy is made of the original in the form of a PDF with text layer and the metadata of the original document is removed from the copy. This copy ends up on a Dutch server and remains there for a maximum of 30 days. The text layer of the PDF is offered to the machine learning algorithm through an API. This is a Natural Language Processing algorithm (named entity recognition) from Microsoft Azure. The API returns at which location in the analysed texts a personal data is likely to occur, along with the probability score (a percentage). At that point, Azure immediately removes the text layer. The probability score is used along with vendor-developed proprietary ai models to make the recognition of personal data as accurate as possible. The models are trained using, among others, the following trained datasets as CoNLL-2003, UD Dutch LassySmall v2.8, Dutch NER Annotations for UD LassySmall and UD Dutch Alpino v2.8. Minimum key figures for the accuracy of identifying personal data are as follows: Named entities (precision): 0.78, Named entities (recall): 0.76, Named entities (F-score): 0.77. Finally, a staff member checks the document and when it completes the document, the data to be anonymised is permanently removed from the text layer and a black bar is placed.",The outcome of the algorithm is checked by an employee. The clerk is required by the software to check all pages. The clerk determines whether the document is correctly anonymised.,"There is no risk of automated decision-making and the algorithm has no impact on fundamental rights because the algorithm does not make decisions with legal consequences. It only suggests anonymising personal data. The algorithm is also used by the developer himself, so errors are quickly found. In addition, the algorithm is trained periodically. At the request of our organisation, our documents are not used to train the algorithm. If the algorithm does not work well enough, we can make adjustments with black- and whitelists. The municipality's employee always does the final check whether a document is correctly anonymised. There is a risk that employees do not check properly; we mitigate this by paying attention to the importance of carefully checking the personal data found by the algorithm. The last remaining risk is the privacy risk of using Azure. Because Microsoft may be required to hand over data it processes to US authorities because of the Patriot Act. To mitigate these risks, the vendor has implemented privacy by default. Text sent by the API in synchronous or asynchronous calls to the Azure service may be temporarily stored by Azure for debugging. But the vendor has disabled this option. This limits the risk. Immediately after being processed by Azure, the data and data processing is deleted. Furthermore, the supplier is ISO 27001 certified. The risks do not outweigh the privacy benefits and the risk of poor anonymisation by not using this software.",Xxllnc,Verwerkingsregister Gemeente Leiden,,,2025-01,,,Other algorithms,"1: Woo, https://wetten.overheid.nl/BWBR0045754/. 2: WDO, https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:31995L0046. 3: UAVG, https://wetten.overheid.nl/BWBR0040940. 4: Wep, https://wetten.overheid.nl/BWBR0043961. 5: Wdo, https://wetten.overheid.nl/BWBR0048156",,,44147655
Public space reports,Municipality of Leiden,"If something needs to be fixed or cleaned up in public spaces, it can be reported to the municipality through Signals. This is a municipality notification system.",Public Order and Safety,,In use,"If something needs to be fixed or cleaned up in public spaces, it can be reported to the municipality through Signals. This is a municipal reporting system. A dangerous traffic situation, housing nuisance or nuisance from people and the hospitality industry can also be reported. Previously, people had to choose which category their report fitted best (e.g. 'nuisance' or 'street furniture'), so that the report went to the right department in the municipality.But the municipality is a complex organisation and the list of categories is long. As a result, people did not always choose the right category. This sometimes caused delays in processing notifications. Therefore, we now use an algorithm that recognises words, e.g. 'rubbish' and 'pavement'. On this basis, it determines which category the report best fits and which department should handle it. So the caller no longer needs to choose a category, and the call is handled faster because it goes to the right department.",,"Depending on the type of report, but often it is a municipal task that is carried out. This is because the law states that the municipality has certain responsibilities in public spaces.",1.0,,algoritmes@leiden.nl,nld,,"NotificationsThe dataset consists of notifications made previously (free text field). Initially, we used 150,000 notifications from past years to train the algorithm. It is regularly retrained with new notifications and implemented corrections to existing notifications. If colleagues from affiliated departments see an incorrect categorisation, (see Human supervision) they correct it manually in the notification system. These corrections are used in re-training. We are investigating whether retraining the algorithm can be automated in the future. We cannot disclose this dataset in this register. Because the data comes from a free text field, it may contain personal data, although it is not explicitly requested.E-mail address and phone number for follow-up questionsSomeone making a report can leave their phone number and/or e-mail address if they want. We then keep the reporter informed of the progress and we have the option to call him or her back. This information is not kept longer than necessary for this purpose and is therefore not used by the algorithm.","Architecture of the modelThe text of the notification is divided into individual words. Each word from a notification is analysed to see how unique it is to that notification, compared to the total collection of words ('TF-IDF' or 'term frequency-inverse document frequency'). As a result, a word like 'the' or 'thank you' gets a low weight and a word like 'rubbish' gets a higher weight.From that combination of words, logistic regression (a machine-learning technique) is then used to determine which category the report belongs to and thus which department within the municipality the report is most likely to fit.","If the algorithm cannot find an appropriate category based on the text written by the notifier, the notification is put on the ""other"" category by the algorithm. A human assessment then takes place and the notification is still assigned to an appropriate category.","There are few risks in this algorithm. It places a notification in the right category and gets it to the attention of the right department faster. If the algorithm cannot place a notification in a category with sufficient certainty, it ends up in the 'Other' category. Leiden municipality employees review those notifications and manually put them in the right category. So if the algorithm does not work properly, it takes a little longer for the report to reach the right department. The reporter can add contact details (telephone number and/or e-mail address) if he or she wants to be kept informed. These details are stored securely and are not used by the algorithm.",,Verwerkingsregister Gemeente Leiden,"Reports Complaints Natural language processing, Reports public space, MOR, Signals",,2024-12,,,Other algorithms,,,,27439816
CiVision Society,Municipality of Velsen,"CiVision Samenlevingszaken is a back-office application for the social domain. Within this application, provisions for a resident are calculated and provided. These are benefits in kind under income schemes, reintegration facilities and facilities for social support and for pupil transport.",Organisation and business operations,,In use,The principle of algorithm aims to be able to calculate income provisions and subsidies in an automated way. So that beneficiaries receive the right provision. These calculations are done on the basis of business logic. This consists of variables based on applicable laws and regulations.,"With the application of business logic, the user is able to make a reliable and correct calculation. As a result, the beneficiary of an income scheme or subsidy receives the correct amount and equal cases are treated equally.","Algorithms are exclusively in our support of the Participation Act, Ioaw, Ioaz and Bbz2004. The legislation on these is guiding our business logic. Both for income schemes and subsidies provided in the work domain.",1.0,,info@velsen.nl	,nld,,,"Based on the variables entered, the entitlement to be provided is established on the basis of fixed logic. To determine the amount of income provisions, the application has standards and bases. These amounts are periodically adjusted by the legislator. We derive the applicable standard or basis from the resident's situation. Thus, based on the resident's age, marital status, children and co-residents present, the norm or base is determined. Other variables that affect the actual amount of the provision, such as income or a reduction, are included in the calculation. So that the amount to be provided is calculated in the application. The calculation logic also extends to the accountability of a user for income schemes provided. Consider the preparation of the wage declaration and grossing up claim.For calculating subsidies, we also know the relevant standards. These are based on nationally determined minimum wages. Which minimum wage applies in a calculation we derive from the age of the resident and the nature of a resident's employment. The calculation of subsidies takes into account the size of the employment contract and the resident's established wage value. The amount of subsidy to be provided is finally arrived at after applying all relevant variables applied to the applicable minimum wage.",Control mechanisms are employed in every dispensation made. Human controls may be applied at various points between data entry and the actual output of the dispensation.,"A modification to business logic is extensively tested before it is released to users. In addition, the application enforces checks before a processing is made final. Until the processing is made final, it can be reversed. In addition, the business logic is managed at PinkRoccade and protected from users. ",PinkRoccade Local Government,,,,2012-6,,DPIA has been applied.,Impactful algorithms,"1: Participatiewet, https://wetten.overheid.nl/BWBR0015703/2024-07-01/0. 2: Ioaw, https://wetten.overheid.nl/BWBR0004044/2024-07-01/0. 3: Ioaz, https://wetten.overheid.nl/BWBR0004163/2024-07-01/0. 4: Bbz2004, https://wetten.overheid.nl/BWBR0015711/2024-01-01/0. 5: Regeling Participatiewet, Ioaw, Ioaz, https://wetten.overheid.nl/BWBR0015738/2024-06-01/0. 6: Wet minimumloon en minimumvakantiebijslag, https://wetten.overheid.nl/BWBR0002638/2024-07-01",1: Data Protection Impact Assessment (DPIA),,28389965
