name,goals_score,goals_justification,logic_score,logic_justification,limitations_score,limitations_justification
vrzhz,2,"The goal is specific and contextualized, aiming to experiment with generative artificial intelligence using copilot to support employees in document creation, note-taking, and information analysis, and to understand its impact and capabilities in the workplace.",2,"The logic is clearly explained, stating that copilot uses language models from openai hosted as a service in a microsoft azure environment, trained on huge amounts of text data, and integrated with business data in the organisation's microsoft environment.",2,"The limitations are explicitly described, mentioning compliance under the artificial intelligence regulation, existing policies from privacy, security, procurement, and the associated focus areas of awareness, code of conduct and cloud services form the starting point for risk management around generative artificial intelligence."
SmartLockR,2,"The goal is specific and contextualized, with a clear policy objective of ensuring that sensitive information sent via email is properly secured.",2,"The algorithm's process is clearly explained, including the inputs (preset content policy and specific words or formats related to privacy), and how these inputs activate the algorithm.",0,"No limitations or risks are mentioned, only a statement about the algorithm's performance being monitored."
Secondary Market Transaction Reporting (SMTR),2,"The goal is specific and contextualized, explaining the purpose of the algorithm in monitoring the secondary market activities of primary dealers in Dutch state loans and treasury bills.",2,"The logic is clearly explained, detailing the data inputs, the process of data collection, and the format of the data.",1,"The limitations are vaguely mentioned, stating that the risks are low and that there are automated content checks, but not specifying the nature or context of these risks or checks."
Quoting obligation,2,"The goal is specific and contextualized, explaining the purpose of the quoting obligation in ensuring liquidity of Dutch government securities and encouraging performance of primary dealers.",2,"The methods and models section provides a detailed explanation of the inputs, process, and model type, including how scores are calculated and ranked.",1,"The risks section mentions the low risk and lack of personal data use, but it only vaguely describes the risk of incorrect parameters and its mitigation."
Poverty prevention in Almelo municipality,2,"The goal is specific and contextualized, aiming to help residents at risk of falling into debt situations as early as possible to prevent poverty problems from increasing.",1,"The process is partially explained, mentioning the use of notifications from creditors and checks by municipal employees, but the specific model or algorithm used is not detailed.",2,"The risks are explicitly described, including security measures, data access and removal policies, and the potential for residents to opt out of the system."
Non-Competitive,2,"The goal is specific and contextualized, outlining the purpose of incentivizing primary dealers to buy enough volume at Dutch state loans auctions and improve the tradability of Dutch government securities.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how the quoter scores are filtered, how the standard deviation and minimum percentage are used, and how the ranking is done.",2,"The risks section explicitly describes the known risks, including the technical risk of miscalculating the non-competitive option and the potential financial risk for the agency, and also outlines the mitigation strategy."
Text analysis,2,"The goal is specific and contextualized, stating the purpose of supporting the review process where legal protections apply to information disclosed.",2,"The methods and models field provides a clear explanation of the inputs, process, and model type, detailing the use of named entity recognition and a process within insights for further processing.",1,"The risks field mentions the absence of risk in automated decision-making and impact on fundamental rights, but it does not specify any potential limitations or risks of the algorithm itself."
Anonymise,2,"The goal is specific and contextualized, aiming to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, including the use of a natural language processing algorithm and proprietary AI models, and the role of human oversight.",2,"The limitations are explicitly described, including the risk of improper employee checks, privacy risks associated with using Azure, and measures taken to mitigate these risks."
Public space reports,2,"The goal is specific and contextualized, aiming to improve the efficiency of municipal reporting by categorizing reports using an algorithm.",2,"The logic is clearly explained, detailing the process of word analysis, weighting, and categorization using regression.",2,"The limitations are explicitly described, noting that if the algorithm cannot categorize a report with sufficient certainty, it will be placed in the 'other' category and manually sorted, which may cause delays."
CiVision Society,2,"The goal is specific and contextualized, aiming to calculate income provisions and subsidies in an automated way based on business logic and applicable laws and regulations.",2,"The system's logic is clearly explained, detailing the inputs (resident's age, marital status, children, co-residents, income, etc.), process (calculation of provisions and subsidies), and model type (fixed logic based on variables).",1,"The risks are mentioned, focusing on the testing and checks of business logic modifications, but the nature or context of these risks is not specified."
Citizen affairs e-services,2,"The goal is specific and contextualized, outlining the purpose of the e-services and the algorithm to provide support to residents and entrepreneurs in submitting digital applications, and the subsequent steps that occur based on the data provided.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how a resident or entrepreneur can start an e-service, how the application is checked against laws and regulations, and how it is processed by a civil affairs employee or automatically by the system.",1,The risks section mentions human intervention as a limitation but does not provide specific details about its nature or context.
Neighbourhood approach,2,"The goal is specific and contextualized, aiming to improve interventions of liveability in neighbourhoods through better decision-making, efficient data analysis, and AI capabilities.",1,"The methods and models mention the use of machine learning and explainable AI, but do not provide a clear explanation of the inputs, process, and how these models are applied.",2,"The risks are explicitly described, identifying stigmatisation as a major risk and outlining measures to combat it."
RNI Face scan,2,"The goal is specific and contextualized, stating that the algorithm is used to compare the face of the person at the counter with the photo in their identity document to assist RNI employees in determining identity with greater certainty.",2,"The methods and models are clearly explained, detailing the use of a neural network, face recognition APIs, and a scanning solution to register and verify the identity of a citizen in the RNI. The process, inputs, and model type are all described.",2,"The risks are explicitly described, noting the potential negative impact on the rights and freedoms of data subjects due to the processing of personal data, and the small risk of leakage or manipulation of the facial image."
Microsoft 365 Copilot Chat,2,"The goal is specific and contextualized, stating that the tool is used by province employees to make daily work more efficient and gain knowledge and experience with new technology, with an emphasis on understanding the risks of using generative AI tools.",2,"The logic is clearly explained, stating that the tool uses language models from OpenAI hosted in a Microsoft Azure environment, trained on large amounts of text data to generate and understand human-like texts, and uses an internet search to answer questions and provide information.",2,"The limitations are explicitly described, stating that existing policies form the starting point for risk management around generative AI, guidelines for responsible use have been drawn up, and internal awareness, communication, and training on AI literacy are continuously addressed."
Zivver,2,"The goal is specific and contextualized, aiming to ensure that information sent by email is properly secured by alerting senders to sensitive information and encouraging secure sending.",2,"The logic is clearly explained, detailing how the algorithm uses terms in the message and attachments to determine similarity to previously sent emails and classify the email as potentially sensitive.",1,"The limitations are vaguely mentioned, stating that the algorithm's performance is monitored and adjustments are made if incorrect classifications occur, but without specifying the nature or context of these potential inaccuracies."
Anonymisation software,1,"The goal is stated as making the work within the WOO more efficient and effective, but it lacks a specific policy objective.",2,"The process is clearly explained, from the algorithm being trained to identify personal data, to the employee entering a document, to the algorithm suggesting data to be varnished, and finally to the manual review by the employee.",2,"The risks are explicitly described, with the manual assessment by an employee and the four-eye principle mentioned as measures to limit the risk."
Search &amp; Find,1,"The goal is stated as using an algorithm to pre-select information to improve process turnaround time, but it lacks a specific policy objective or context.",2,"The methods and models field provides a clear explanation of the inputs, process, and model type, including the use of data from documents to match queries and the use of synonyms to ensure comprehensive results.",1,"The risks field mentions the risk of missing relevant documents and the limitation of access to information sources, but it does not specify the nature or context of these risks or limitations."
Anonymise,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by Omgevingsdienst Drenthe to prevent data leaks and protect the rights of data subjects.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, including the use of a natural language processing algorithm and proprietary AI models, and the involvement of a staff member for final checks.",2,"The risks and limitations are explicitly described, including the risk of improper employee checks, privacy risks associated with using Azure, and measures taken to mitigate these risks."
Woo AI chat (Open Government Act),2,"The goal is specific and contextualized, stating that the AI chat is used to expand knowledge and implement the 'woo' according to the latest legal requirements, improving the quality and handling of a 'woo' request.",2,"The logic is clearly explained, detailing the process of how user questions are presented to the AI, how the AI uses these questions to provide an answer, and how the data is handled and protected.",1,"The risks are mentioned, stating that the AI uses resources selected by the 'nkoo' and that these are not supplemented by user information, making the risk low. However, the nature or context of these risks is not explicitly described."
Darkness monitor,2,"The goal is specific and contextualized, aiming to reduce public lighting to limit light pollution and energy consumption in the province of Groningen, while considering social and road safety.",1,"The method is mentioned as compiling various satellite images to create maps for policy drafting, but the full process and model type are not clearly explained.",1,"The risk of human intervention in data verification is mentioned, but its nature or context is not specified."
Blurring as a Service,2,"The goal is specific and contextualized, stating that the service is used to anonymize images from public spaces by removing people and license plates, and is first deployed for panoramic images to visualize the city of Amsterdam for various municipal purposes.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type. It explains the legal basis for the algorithm, the type of data used, how the algorithm was trained and tested, and the current and potential future applications of the algorithm.",1,"The risks section vaguely mentions the processing of a large amount of personal data, but does not specify the nature or context of this risk."
Signals (Public Space Reports),2,"The goal is specific and contextualized, aiming to improve the categorization of public space reports for efficient handling by the municipality.",2,"The logic is clearly explained, detailing the use of term frequency-inverse document frequency and regression to analyze and categorize reports.",2,"The limitations are explicitly described, acknowledging that the algorithm may not always categorize correctly and that such reports end up in the 'other' category for manual review."
Sustainability Monitor,1,The goal is general and lacks specific context or policy objective.,1,The system mentions the use of data from different sources but lacks a full process description or model type.,2,The system explicitly describes the risk of human intervention in verifying the outcomes before they are used for policy formulation or change.
OB Carousel Fraud (OBCF),2,"The goal is specific and contextualized, aiming to detect possible carousel fraud in VAT returns as early as possible to prevent damage.",1,"The algorithm uses business rules created by content experts based on laws, regulations, and expertise to assign a score, but the full process and model type are not clearly explained.",1,"The entry mentions the need for transparency, lawful actions, and compliance with laws and regulations, but does not explicitly describe known risks, data biases, or contexts of inaccuracy."
Tax Compliance Check Algorithm,2,"The goal is specific and contextualized, stating that the algorithm is used to check the correctness of VAT returns using the balance sheet information from income tax or corporate income tax returns.",1,"The algorithm is described as using business rules based on laws, regulations, and expertise, but the specific inputs, process, and model type are not clearly explained.",2,"The risks section explicitly describes the limitations of the algorithm, including the need for regular checks to ensure compliance with quality requirements and laws, and the potential need for adjustments to the business rules."
Entrepreneur OB Number Issuance,2,"The goal is specific and contextualized, detailing the process of a new business registration and how the algorithm aids in assessing the need for manual review of sales tax liability.",2,"The logic is clearly explained, detailing the use of business rules for the algorithm to select which registration requests need manual review, and clarifying that the algorithm is not self-learning.",2,"The limitations are explicitly described, mentioning the legal requirements for transparency and lawfulness, the use of a quality framework for algorithm development, periodic review of business rules, and data usage restrictions."
Turnover tax Absenteeism Prevention and Attendance (OMV),2,"The goal is specific and contextualized, with a clear policy objective of preventing sales tax absenteeism and providing different approaches for different groups of businesses.",2,"The methods and models are clearly explained, including the inputs (past absenteeism data), process (training and updating the algorithm), and model type (statistics and business rules).",1,"The risks section mentions the legal requirements and quality checks for the algorithm, but does not explicitly describe known risks, data biases, or contexts of inaccuracy."
OB-Negative Algorithm,2,"The goal is specific and contextualized, aiming to detect potentially incorrect SME returns for manual assessment due to the large number of negative declarations that cannot be manually assessed.",2,"The algorithm's process is clearly explained, including the use of statistics and business rules to score each negative return and determine the need for manual assessment.",1,"The risks section mentions the need for transparency, lawfulness, and compliance with quality requirements, but does not explicitly describe known risks, data biases, or contexts of inaccuracy."
Road use control (MRB),2,"The goal is clearly stated with specific context and policy objective, detailing the purpose of the algorithm in enforcing motor vehicle tax and heavy motor vehicle tax, and the specific checks it carries out.",2,"The logic is well explained, detailing the decision rules and data used by the algorithm, the categories it focuses on, and the process of manual verification by a tax administration employee.",2,"The limitations are explicitly described, mentioning the requirements of transparency and lawfulness, the testing against data protection regulation, the focus on data minimisation, and the measures taken to prevent discrimination and ensure data protection."
Microsoft CoPilot,1,"The goal field mentions the general purpose of using artificial intelligence tools like Microsoft CoPilot to support staff, but it does not provide a specific context or policy objective.",0,"The 'Methods and Models' field is blank, providing no explanation of how the system works.",1,"The 'Risks' field mentions the existence of a risk management policy and guidelines for responsible use of AI, but it does not specify any particular risks or limitations of the AI system."
Zivver,2,"The goal is specific and contextualized, with a clear policy objective of ensuring that information sent by email is properly secured.",2,"The logic is clearly explained, with inputs (terms in the message and attachments), process (comparison with previously sent emails and classification based on terminology), and model type (classification algorithm) all described.",1,"The risks are mentioned, but they are vague and do not specify the nature or context of the risks, only that incorrect classifications can be adjusted."
Detect risks in customs declarations for GHG product licensing compliance,2,"The goal is specific and contextualized, stating the purpose of the algorithm is to efficiently select declarations that may pose a risk of non-compliance with the permit requirement for fluorinated greenhouse gases.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing the use of decision rules based on 'if-then-else' combinations to estimate which declarations have a higher risk of importing fluorinated greenhouse gases without a license or quota.",2,"The risks section explicitly describes the measures taken to mitigate risks, such as the 4-eye principle, weekly checks, and adjustments to the profile if necessary, acknowledging the potential for a profile to be insufficiently specific and designate too many declarations as higher risk."
Intelligent traffic control installation (iVRI),2,"The goal is specific and contextualized, aiming to improve road safety, traffic flow, accessibility, and reduce CO2 emissions.",2,"The logic is clearly explained, detailing the inputs (signals from cars, applications, and detection loops), the process (weighing up who gets green and how long a traffic light is on green), and the model type (algorithmic control of traffic based on local choices).",1,"The risks are mentioned, including safety requirements and system maintenance, but the nature or context of these risks is not explicitly described."
Detecting risks in customs declarations: introduction and import of non-animal foodstuffs,2,"The goal is specific and contextualized, with a clear policy objective of selecting consignments for control that enter the EU through the Netherlands, focusing on foodstuffs of non-animal origin.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing the use of decision rules based on 'if-then-else' combinations to estimate risk.",2,"The risks section explicitly describes the process of risk evaluation, including the 4-eye principle, periodic checks, and potential adjustments, as well as the monitoring of complaints and incidents."
Detection of product safety risks in customs declarations on entry and import of products,2,"The goal is specific and contextualized, with a clear policy objective of selecting consignments for inspection that enter the European Union through the Netherlands.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, including decision rules and an example of how these rules are applied.",2,"The risks section explicitly describes the process of risk evaluation and potential adjustments, indicating an understanding of the limitations of the algorithm."
Detect risks in customs declarations for admission of non-commercial pet animals,2,"The goal is specific and contextualized, outlining the purpose of the algorithm to help customs comply with legal obligations and ensure the rules for non-commercial pet animals have been met.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how the algorithm selects declarations, the manual checks required, and the criteria for stopping a shipment.",0,"No limitations or risks are mentioned in the risks section, it only reiterates the goal of the algorithm."
Detect risks on active substances of veterinary drugs without registration in customs declarations,2,"The goal is specific and contextualized, with a clear policy objective of selecting which declarations may be subject to registration under the animals act, focusing on imports of active substances for making veterinary medicines.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing the use of decision rules created in collaboration with content experts to estimate which declarations have a higher risk of importing active substances for making veterinary drugs without registration.",2,"The risks section explicitly describes the measures taken to mitigate risks, such as the 4-eye principle, periodic checks, and adjustments of the profile, as well as monitoring of internal and external complaints and incidents."
Detecting risks in customs declarations: compliance with licensing requirements for ozone-depleting substances,2,"The goal is specific and contextualized, with a clear policy objective of selecting declarations that may pose a risk of non-compliance with the ozone-depleting substances licensing requirement.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type. It uses decision rules based on 'if-then-else' combinations to estimate which declarations have a higher risk of importing and exporting ozone-depleting substances without a license.",2,"The risks section explicitly describes the limitations and checks in place to mitigate them, such as the 4-eye principle, weekly checks, and the ability to adjust the profile if necessary. It also mentions potential issues like a profile being insufficiently specific and designating too many declarations as higher risk."
Detect risks in customs declarations for admission of live animals and veterinary products,2,"The goal is specific and contextualized, stating the purpose of the algorithm is to meet customs' legal obligation to check the destination authorization for each import declaration of live animals and/or veterinary products.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how the algorithm selects declarations, the manual check process, and the criteria for expanded inspection or non-interruption of the consignment.",1,"The risks section mentions the legal requirement for a 100% check, implying a limitation in terms of the manual effort required, but does not specify the nature or context of this limitation."
Detect risks in customs declarations on goods infringing the Environment Act,2,"The goal is specific and contextualized, stating that the algorithm is used to check goods entering or leaving the EU via the Netherlands for violations of regulation 338/97 and the Environment Act.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, describing the use of decision rules based on 'if-then-else' combinations to estimate the risk of declarations infringing intellectual property rights.",2,"The risks section explicitly describes the process of checking and adjusting the risk profile, including the potential for a profile to be insufficiently specific and designate too many declarations as higher risk."
"Detect risks in customs declarations on non-veterinary feed, feed materials and additives",2,"The goal is specific and contextualized, with a clear policy objective of selecting consignments for inspection that enter the European Union via the Netherlands, focusing on non-veterinary feed, feed materials, and feed additives.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing the use of decision rules developed with content experts to estimate which declarations have a higher risk, and giving an example of an 'if-then-else' combination rule.",2,"The risks section explicitly describes the process of checking a risk profile by a second customs officer, periodic checks on how many declarations produce a match, and potential adjustments to the profile, indicating awareness of limitations and a system for managing them."
Detect risks in customs declarations for compliance with veterinary medicines authorisation obligation,2,"The goal is specific and contextualized, with a clear policy objective of efficiently selecting which declarations may be subject to authorisation under the animals act, focusing on the import of veterinary medicines.",2,"The logic is clearly explained, with a detailed description of the decision rules used by the algorithm, including an example of an 'if-then-else' combination.",2,"The limitations are explicitly described, with a detailed explanation of the risk profile development process, the 4-eye principle, and the periodic checks and adjustments made to the profile."
Detecting risks of inaccuracies in customs declarations for Fireworks,2,"The goal is specific and contextualized, aiming to efficiently select riskier fireworks declarations based on historical checks and other factors.",2,"The logic is clearly explained, detailing the use of decision rules created with content experts to estimate risk based on previous shipments and compliance history.",2,"The limitations are explicitly described, including the need for a second officer's check, weekly checks on profile matches, and potential adjustments based on internal and external feedback."
